station,latitude_zone,model,mae,rmse,r2,corr,mape
FF051,N_mid,ElasticNet,0.9830253986877739,1.175193171958706,0.0383100844655221,0.858132688274468,17.93048638562379
FF051,N_mid,LinearRegression,3.875639241976163,5.024126822895308,-120.46069786233849,0.7261460406713467,72.6850091966183
FF051,N_mid,RandomForest,0.7841052492018192,0.9565194834841937,0.4284141264106147,0.9007906619670477,13.713516641119877
FF051,N_mid,XGBoost,0.7846293174697501,0.9569649386363781,0.4302650606325233,0.8929125292615067,13.78093603586953
GM037,N_mid,CatBoost,0.8267162453092376,1.0107060071902347,0.527854266501328,0.8704136697025986,12.044644528054535
GM037,N_mid,ElasticNet,1.307483212233127,1.6220472264060448,-1.995244678936734,0.82359507272689,18.814409261252262
GM037,N_mid,LinearRegression,6.330017642890114,8.677282824887849,-611.8125858852826,0.6875707905469095,97.3344519158608
GM037,N_mid,RandomForest,0.8086009425167784,1.0036278450119593,0.5063283289917473,0.8577983069910915,11.652086001662752
GM037,N_mid,XGBoost,0.8194382858626664,1.0168178819125786,0.48795663894333413,0.8510495406528008,11.84832226579401
GR13L,S_mid,CatBoost,0.7608257737060696,0.9218819369806411,0.6698507458894571,0.9616707434518417,13.048692699264398
GR13L,S_mid,ElasticNet,1.0425562761219336,1.265741902439535,0.3488000354460388,0.922246281463607,18.285847014135385
GR13L,S_mid,LinearRegression,3.677474937689535,4.721669358150706,-43.25783709115025,0.7933037196742992,67.55183279694614
GR13L,S_mid,RandomForest,0.7463217638696283,0.9214767241971915,0.6512129202672666,0.9551518339644091,12.39616985145204
GR13L,S_mid,XGBoost,0.7483932476350557,0.9229602212311457,0.6498140405306898,0.9549041499260654,12.473459922193145
HO54K,S_mid,CatBoost,0.8120947709729501,0.9800349605424612,0.4872121345774243,0.8934312880267452,14.17442069632576
HO54K,S_mid,ElasticNet,1.230485978322901,1.4711287971042573,-0.5239238748994125,0.761752514741185,22.380983708281054
HO54K,S_mid,LinearRegression,3.370393637810806,4.33762917177496,-27.61332141909974,0.6955460880128276,59.06136113189441
HO54K,S_mid,RandomForest,0.8269867659351301,1.0093991193783507,0.4266501266457029,0.8784018441138481,14.081698772013953
HO54K,S_mid,XGBoost,0.8311486863714324,1.01158146946242,0.4115017222310965,0.878152494300839,14.135361250495624
IC437,N_mid,CatBoost,0.8065442982818704,1.0008746342207187,0.4391422121881826,0.8227672815670191,11.832193633402271
IC437,N_mid,ElasticNet,0.957976619331928,1.1727820342527309,0.02199465937490233,0.8058297896187974,14.158920439849133
IC437,N_mid,LinearRegression,4.426264795786901,5.795553553771263,-198.34800226250405,0.6637051103591981,66.91933303210476
IC437,N_mid,RandomForest,0.7963431893324205,0.9958817984246464,0.4304991183385172,0.825414110391869,11.57059190127502
IC437,N_mid,XGBoost,0.8195308559826987,1.0256181207560944,0.3728140401985175,0.8055605780604921,11.910796694996492
JJ433,N_mid,CatBoost,0.8727421357751741,1.087589670773789,0.4735583370480688,0.854591709058115,12.1421270951156
JJ433,N_mid,ElasticNet,1.0167924086396987,1.2493837881244665,-0.16311233167115063,0.8422573052180127,14.3091450559011
JJ433,N_mid,LinearRegression,4.209369341071853,5.51264402641861,-165.80496206494576,0.6895960163572435,61.16681883062121
JJ433,N_mid,RandomForest,0.8747967317905752,1.0970121709297755,0.4170611603154819,0.848902327657233,12.069815792053541
JJ433,N_mid,XGBoost,0.9081008003987208,1.139154591789884,0.31888898546229244,0.8381000233904586,12.535036308221038
JR055,N_mid,CatBoost,0.7559648783199145,0.9144234458756542,0.5467796773472735,0.9192955114610746,14.850204380023406
